[ 2019-09-03T09:15:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.001179s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.001321s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000515s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000558s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.008860s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.008065s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | SQL: SELECT `type`,`conf_value`,`type` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.007422s ]
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | NOTIC: [8] Undefined index:  type HomeConfigService.class.php 第 18 行.
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | NOTIC: [8] Undefined index:  type HomeConfigService.class.php 第 18 行.
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.000879s ]
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.000960s ]
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000514s ]
[ 2019-09-03T11:52:39+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000558s ]
[ 2019-09-03T11:52:40+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.010188s ]
[ 2019-09-03T11:52:40+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.007996s ]
[ 2019-09-03T11:52:40+08:00 ] /index.php/api/home-render | SQL: SELECT `type`,`conf_value` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.006951s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.001133s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.001266s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000726s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000798s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.007318s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.006574s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | SQL: SELECT * FROM `ecs_home_config` WHERE ( `id` IN ('type','conf_value') )  [ RunTime:0.020535s ]
[ 2019-09-03T11:53:40+08:00 ] /index.php/api/home-render | NOTIC: [2] Invalid argument supplied for foreach() HomeConfigService.class.php 第 17 行.
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.001358s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.001443s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000929s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000980s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.006250s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.006420s ]
[ 2019-09-03T11:53:44+08:00 ] /index.php/api/home-render | SQL: SELECT `type`,`conf_value` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.006435s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.000910s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.000989s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000498s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000584s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.007498s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.008063s ]
[ 2019-09-03T11:54:32+08:00 ] /index.php/api/home-render | SQL: SELECT `conf_key`,`type`,`conf_value` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.006444s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.000954s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.001040s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000530s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000573s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.007225s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.008746s ]
[ 2019-09-03T11:54:51+08:00 ] /index.php/api/home-render | SQL: SELECT `conf_key`,`type`,`conf_value` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.007921s ]
